000009,中国宝安
000021,深科技
000027,深圳能源
000032,深桑达A
000034,神州数码
000039,中集集团
000050,深天马A
000060,中金岭南
000062,深圳华强
000088,盐田港
000155,川能动力
000400,许继电气
000415,渤海租赁
000423,东阿阿胶
000426,兴业银锡
000429,粤高速A
000513,丽珠集团
000519,中兵红箭
000528,柳工
000537,绿发电力
000539,粤电力A
000559,万向钱潮
000563,陕国投A
000582,北部湾港
000591,太阳能
000598,兴蓉环境
000623,吉林敖东
000629,钒钛股份
000657,中钨高新
000683,博源化工
000703,恒逸石化
000709,河钢股份
000723,美锦能源
000728,国元证券
000729,燕京啤酒
000733,振华科技
000738,航发控制
000739,普洛药业
000750,国海证券
000783,长江证券
000785,居然智家
000825,太钢不锈
000830,鲁西化工
000831,中国稀土
000878,云南铜业
000883,湖北能源
000887,中鼎股份
000893,亚钾国际
000898,鞍钢股份
000921,海信家电
000932,华菱钢铁
000933,神火股份
000937,冀中能源
000951,中国重汽
000958,电投产融
000959,首钢股份
000960,锡业股份
000967,盈峰环境
000987,越秀资本
000997,新 大 陆
001213,中铁特货
001221,悍高集团
001286,陕西能源
001389,广合科技
001696,宗申动力
002007,华兰生物
002008,大族激光
002025,航天电器
002032,苏泊尔
002044,美年健康
002056,横店东磁
002064,华峰化学
002065,东华软件
002078,太阳纸业
002080,中材科技
002085,万丰奥威
002120,韵达股份
002126,银轮股份
002128,电投能源
002130,沃尔核材
002131,利欧股份
002138,顺络电子
002152,广电运通
002153,石基信息
002155,湖南黄金
002156,通富微电
002157,正邦科技
002185,华天科技
002195,岩山科技
002202,金风科技
002203,海亮股份
002223,鱼跃医疗
002244,滨江集团
002261,拓维信息
002262,恩华药业
002265,建设工业
002266,浙富控股
002271,东方雨虹
002273,水晶光电
002281,光迅科技
002294,信立泰
002299,圣农发展
002312,川发龙蟒
002318,久立特材
002335,科华数据
002340,格林美
002353,杰瑞股份
002372,伟星新材
002385,大北农
002402,和而泰
002409,雅克科技
002410,广联达
002414,高德红外
002423,中粮资本
002429,兆驰股份
002430,杭氧股份
002432,九安医疗
002436,兴森科技
002439,启明星辰
002444,巨星科技
002461,珠江啤酒
002465,海格通信
002472,双环传动
002500,山西证券
002508,老板电器
002517,恺英网络
002532,天山铝业
002558,巨人网络
002568,百润股份
002583,海能达
002595,豪迈科技
002603,以岭药业
002607,中公教育
002608,江苏国信
002624,完美世界
002670,国盛证券
002673,西部证券
002683,广东宏大
002738,中矿资源
002739,万达电影
002756,永兴材料
002773,康弘药业
002797,第一创业
002821,凯莱英
002831,裕同科技
002837,英维克
002841,视源股份
002850,科达利
002851,麦格米特
002926,华西证券
002939,长城证券
002945,华林证券
002958,青农商行
002966,苏州银行
002984,森麒麟
003021,兆威机电
003022,联泓新科
003031,中瓷电子
003035,南网能源
300001,特锐德
300002,神州泰岳
300003,乐普医疗
300012,华测检测
300017,网宿科技
300024,机器人
300037,新宙邦
300054,鼎龙股份
300058,蓝色光标
300070,碧水源
300073,当升科技
300100,双林股份
300115,长盈精密
300136,信维通信
300140,节能环境
300142,沃森生物
300144,宋城演艺
300146,汤臣倍健
300207,欣旺达
300223,北京君正
300285,国瓷材料
